nucls_slide_name,case_id_nucls,section,section_type_nucls,section_number_nucls,section_key,file_id,file_name,file_size_MB,full_path,file_id_norm,slide_barcode,case_id,sample_vial,sample_type_code,section_type,section_number
TCGA-A1-A0SP-DX1,TCGA-A1-A0SP,DX1,DX,1,TCGA-A1-A0SP-DX-1,aa8c4f21-2fce-4ccb-b270-4a1ad633f36e,TCGA-A1-A0SP-01Z-00-DX1.20D689C6-EFA5-4694-BE76-24475A89ACC0.svs,1494.05,aa8c4f21-2fce-4ccb-b270-4a1ad633f36e/TCGA-A1-A0SP-01Z-00-DX1.20D689C6-EFA5-4694-BE76-24475A89ACC0.svs,aa8c4f21-2fce-4ccb-b270-4a1ad633f36e,TCGA-A1-A0SP-01Z-00-DX1,TCGA-A1-A0SP,TCGA-A1-A0SP-01Z,01,DX,1
TCGA-A2-A04P-DX1,TCGA-A2-A04P,DX1,DX,1,TCGA-A2-A04P-DX-1,471afecc-f0fb-4862-8474-b698feb6f2cb,TCGA-A2-A04P-01Z-00-DX1.5B481E02-D269-4732-8FDD-6494E6EE2B71.svs,912.76,471afecc-f0fb-4862-8474-b698feb6f2cb/TCGA-A2-A04P-01Z-00-DX1.5B481E02-D269-4732-8FDD-6494E6EE2B71.svs,471afecc-f0fb-4862-8474-b698feb6f2cb,TCGA-A2-A04P-01Z-00-DX1,TCGA-A2-A04P,TCGA-A2-A04P-01Z,01,DX,1
TCGA-A2-A04Q-DX1,TCGA-A2-A04Q,DX1,DX,1,TCGA-A2-A04Q-DX-1,eed08ded-9ed9-4896-b9f5-cb5a844a94ee,TCGA-A2-A04Q-01Z-00-DX1.DF7ED6B6-7701-486D-9007-F26B6F0682C4.svs,324.85,eed08ded-9ed9-4896-b9f5-cb5a844a94ee/TCGA-A2-A04Q-01Z-00-DX1.DF7ED6B6-7701-486D-9007-F26B6F0682C4.svs,eed08ded-9ed9-4896-b9f5-cb5a844a94ee,TCGA-A2-A04Q-01Z-00-DX1,TCGA-A2-A04Q,TCGA-A2-A04Q-01Z,01,DX,1
TCGA-A2-A04T-DX1,TCGA-A2-A04T,DX1,DX,1,TCGA-A2-A04T-DX-1,018f441c-62ba-4658-b110-e30bf8381856,TCGA-A2-A04T-01Z-00-DX1.71444266-BD56-4183-9603-C7AC20C9DA1E.svs,802.72,018f441c-62ba-4658-b110-e30bf8381856/TCGA-A2-A04T-01Z-00-DX1.71444266-BD56-4183-9603-C7AC20C9DA1E.svs,018f441c-62ba-4658-b110-e30bf8381856,TCGA-A2-A04T-01Z-00-DX1,TCGA-A2-A04T,TCGA-A2-A04T-01Z,01,DX,1
TCGA-A2-A0CM-DX1,TCGA-A2-A0CM,DX1,DX,1,TCGA-A2-A0CM-DX-1,7b58dd53-0764-466d-ba8a-630f5401dd65,TCGA-A2-A0CM-01Z-00-DX1.AC4901DE-4B6D-4185-BB9F-156033839828.svs,888.64,7b58dd53-0764-466d-ba8a-630f5401dd65/TCGA-A2-A0CM-01Z-00-DX1.AC4901DE-4B6D-4185-BB9F-156033839828.svs,7b58dd53-0764-466d-ba8a-630f5401dd65,TCGA-A2-A0CM-01Z-00-DX1,TCGA-A2-A0CM,TCGA-A2-A0CM-01Z,01,DX,1
TCGA-A2-A0D0-DX1,TCGA-A2-A0D0,DX1,DX,1,TCGA-A2-A0D0-DX-1,cd0b848f-b611-40ef-b643-987689b928fb,TCGA-A2-A0D0-01Z-00-DX1.4FF6B8E5-703B-400F-920A-104F56E0F874.svs,1096.04,cd0b848f-b611-40ef-b643-987689b928fb/TCGA-A2-A0D0-01Z-00-DX1.4FF6B8E5-703B-400F-920A-104F56E0F874.svs,cd0b848f-b611-40ef-b643-987689b928fb,TCGA-A2-A0D0-01Z-00-DX1,TCGA-A2-A0D0,TCGA-A2-A0D0-01Z,01,DX,1
TCGA-A2-A0ST-DX1,TCGA-A2-A0ST,DX1,DX,1,TCGA-A2-A0ST-DX-1,95ff8d8c-f9d3-40cd-8fd8-232b3163e680,TCGA-A2-A0ST-01Z-00-DX1.AE05A5DB-4861-40DE-B0F5-7955FC903A96.svs,688.95,95ff8d8c-f9d3-40cd-8fd8-232b3163e680/TCGA-A2-A0ST-01Z-00-DX1.AE05A5DB-4861-40DE-B0F5-7955FC903A96.svs,95ff8d8c-f9d3-40cd-8fd8-232b3163e680,TCGA-A2-A0ST-01Z-00-DX1,TCGA-A2-A0ST,TCGA-A2-A0ST-01Z,01,DX,1
TCGA-A2-A0SX-DX1,TCGA-A2-A0SX,DX1,DX,1,TCGA-A2-A0SX-DX-1,64093c9e-aebe-4367-adbb-3ea85e3234c9,TCGA-A2-A0SX-01Z-00-DX1.219A994C-8974-4458-98FA-FB1F14868E04.svs,1254.86,64093c9e-aebe-4367-adbb-3ea85e3234c9/TCGA-A2-A0SX-01Z-00-DX1.219A994C-8974-4458-98FA-FB1F14868E04.svs,64093c9e-aebe-4367-adbb-3ea85e3234c9,TCGA-A2-A0SX-01Z-00-DX1,TCGA-A2-A0SX,TCGA-A2-A0SX-01Z,01,DX,1
TCGA-A2-A0T0-DX1,TCGA-A2-A0T0,DX1,DX,1,TCGA-A2-A0T0-DX-1,5f2229b0-de23-4b4a-8531-7a82a9e2f614,TCGA-A2-A0T0-01Z-00-DX1.51F904DA-A4B5-4451-8AEF-58E7EF7651DB.svs,1486.84,5f2229b0-de23-4b4a-8531-7a82a9e2f614/TCGA-A2-A0T0-01Z-00-DX1.51F904DA-A4B5-4451-8AEF-58E7EF7651DB.svs,5f2229b0-de23-4b4a-8531-7a82a9e2f614,TCGA-A2-A0T0-01Z-00-DX1,TCGA-A2-A0T0,TCGA-A2-A0T0-01Z,01,DX,1
TCGA-A2-A0T2-DX1,TCGA-A2-A0T2,DX1,DX,1,TCGA-A2-A0T2-DX-1,33edbe63-b23a-4a41-b47a-629d132e3a14,TCGA-A2-A0T2-01Z-00-DX1.29A5C4C8-6AE8-44EE-98C2-ACBCBFBE9D60.svs,1897.4,33edbe63-b23a-4a41-b47a-629d132e3a14/TCGA-A2-A0T2-01Z-00-DX1.29A5C4C8-6AE8-44EE-98C2-ACBCBFBE9D60.svs,33edbe63-b23a-4a41-b47a-629d132e3a14,TCGA-A2-A0T2-01Z-00-DX1,TCGA-A2-A0T2,TCGA-A2-A0T2-01Z,01,DX,1
